ticket_id,pharmacy_id,created_date,channel,issue_type,resolution_status,satisfaction_score
T0404,PH0517,2025-11-18,Sales rep,Chất lượng,Resolved,3.0
T0405,PH0380,2024-01-08,Zalo,Công nợ,Pending,
T0406,PH0108,2025-06-29,Sales rep,Sai hàng,Resolved,3.0
T0407,PH0501,2024-09-03,Zalo,Chất lượng,Pending,
T0408,PH0799,04/10/2025,Sales rep,Công nợ,Resolved,2.0
T0409,PH0381,20/07/2025,Call,Đổi trả,Resolved,5.0
T0410,PH0194,2025-06-14,Email,Chất lượng,Resolved,4.0
T0411,PH0226,2023-11-26,Sales rep,Sai hàng,Resolved,2.0
T0412,PH0382,2025-10-11,Email,Chất lượng,Resolved,1.0
T0413,PH0193,12-04-2024,Call,Sai hàng,Pending,
T0414,PH0046,2021-04-05,Email,Giao trễ,Resolved,4.0
T0415,PH0018,2023-06-28,Call,Giao trễ,Resolved,5.0
T0416,PH0123,2025-09-13,Zalo,Công nợ,Resolved,4.0
T0417,PH0286,28/12/2025,Zalo,Giao trễ,Resolved,1.0
T0418,PH0778,2021-05-24,Sales rep,Giao trễ,Resolved,2.0
T0419,PH0762,2024-10-31,Call,Công nợ,Resolved,1.0
T0420,PH0196,2022-10-21,Email,Giao trễ,Resolved,3.0
T0421,PH0074,2025-08-19,Sales rep,Giao trễ,Resolved,4.0
T0422,PH0651,2025-11-28,Call,Đổi trả,Resolved,2.0
T0423,PH0422,10-17-2023,Call,Đổi trả,Resolved,3.0
T0424,PH0399,2024-09-01,Zalo,Giao trễ,Resolved,4.0
T0425,PH0406,23/02/2025,Sales rep,Công nợ,Escalated,
T0426,PH0543,2025-04-20,Email,Chất lượng,Resolved,4.0
T0427,PH0565,2020-12-12,Call,Đổi trả,Pending,
T0428,PH0057,2023-12-15,Call,Đổi trả,Resolved,3.0
T0429,PH0337,2025-02-22,Call,Công nợ,Resolved,4.0
T0430,PH0682,2025-05-18,Sales rep,Sai hàng,Resolved,3.0
T0431,PH0593,2024-07-25,Zalo,Công nợ,Resolved,1.0
T0432,PH0208,03/02/2021,Zalo,Đổi trả,Resolved,4.0
T0433,PH0126,2025-11-09,Sales rep,Sai hàng,Resolved,4.0
T0434,PH0766,2025-08-15,Email,Đổi trả,Resolved,
T0435,PH0653,03/01/2025,Sales rep,Chất lượng,Pending,
T0436,PH0626,2025-08-28,Zalo,Giao trễ,Resolved,3.0
T0437,PH0280,2022-09-05,Call,Công nợ,Pending,
T0438,PH0437,2021-02-02,Zalo,Giao trễ,Resolved,1.0
T0439,PH0476,2024-11-06,Sales rep,Sai hàng,Resolved,5.0
T0440,PH0629,2025-04-18,Sales rep,Công nợ,Resolved,5.0
T0441,PH0509,2024-10-03,Email,Chất lượng,Resolved,5.0
T0442,PH0698,2025-08-20,Zalo,Đổi trả,Resolved,5.0
T0443,PH0407,2021-07-27,Sales rep,Công nợ,Resolved,1.0
T0444,PH0703,2025-08-06,Call,Giao trễ,Pending,
T0445,PH0508,2025-11-14,Email,Sai hàng,Resolved,3.0
T0446,PH0599,2022-07-18,Zalo,Đổi trả,Pending,
T0447,PH0717,2025-06-19,Call,Đổi trả,Resolved,4.0
T0448,PH0604,01/08/2024,Zalo,Giao trễ,Resolved,5.0
T0449,PH0565,2021-04-07,Email,Chất lượng,Resolved,2.0
T0450,PH0403,2025-09-12,Sales rep,Chất lượng,Pending,
T0451,PH0762,2025-08-06,Sales rep,Giao trễ,Resolved,3.0
T0452,PH0564,2024-08-28,Email,Công nợ,Resolved,4.0
T0453,PH0703,2025-07-27,Call,Công nợ,Resolved,5.0
T0454,PH0022,2023-01-29,Zalo,Chất lượng,Resolved,4.0
T0455,PH0476,2025-12-04,Call,Sai hàng,Resolved,4.0
T0456,PH0004,2024-09-04,Sales rep,Đổi trả,Pending,
T0457,PH0291,2025-10-29,,Chất lượng,Pending,
T0458,PH0027,2024-12-29,Email,Công nợ,Resolved,2.0
T0459,PH0705,26/11/2025,Sales rep,Sai hàng,Resolved,2.0
T0460,PH0134,2025-12-06,Email,Sai hàng,Resolved,1.0
T0461,PH0580,23/02/2022,Call,Đổi trả,Escalated,
T0462,PH0732,2025-06-20,Call,Chất lượng,Resolved,3.0
T0463,PH0262,2024-11-01,,Công nợ,Resolved,5.0
T0464,PH0530,2024-10-04,Call,Sai hàng,Resolved,5.0
T0465,PH0513,2024-04-27,Email,Đổi trả,Escalated,
T0466,PH0419,2022-06-23,Email,,Resolved,1.0
T0467,PH0521,2022-10-07,Email,,Escalated,
T0468,PH0468,2024-12-04,Zalo,Sai hàng,Pending,3.0
T0469,PH0436,2025-11-25,Email,Sai hàng,Resolved,3.0
T0470,PH0228,2025-09-05,Call,Công nợ,Resolved,1.0
T0471,PH0397,2025-03-09,Call,Đổi trả,Resolved,1.0
T0472,PH0704,2025-10-17,Pigeon,Chất lượng,Resolved,5.0
T0473,PH0274,2023-10-23,,Giao trễ,Resolved,5.0
T0474,PH0290,2025-03-24,Email,Chất lượng,Resolved,4.0
T0475,PH0334,2025-04-23,Call,Chất lượng,Resolved,5.0
T0476,PH0479,2024-06-05,Call,Công nợ,Resolved,5.0
T0477,PH0356,2025-04-12,Zalo,Sai hàng,Pending,
T0478,PH0550,2025-06-14,Zalo,Công nợ,Resolved,1.0
T0479,PH0380,2022-08-14,Call,Công nợ,Resolved,4.0
T0480,PH0513,2023-06-25,Email,Sai hàng,Resolved,1.0
T0481,PH0028,2023-09-17,Zalo,,Resolved,5.0
T0482,PH0774,2024-08-24,Zalo,Công nợ,Resolved,4.0
T0483,PH0459,2025-08-11,Zalo,Đổi trả,Escalated,
T0484,PH0600,11/09/2023,Email,Công nợ,Pending,
T0485,PH0700,2024-12-10,Email,Sai hàng,Resolved,1.0
T0486,PH0499,2022-05-02,Sales rep,Chất lượng,Resolved,4.0
T0487,PH0505,2023-01-06,Sales rep,Sai hàng,Pending,
T0488,PH0447,2024-09-22,Email,Sai hàng,Pending,
T0489,PH0721,2021-10-26,Sales rep,,Pending,
T0490,PH0077,09-07-2024,Zalo,Giao trễ,Pending,
T0491,PH0489,2025-02-01,Call,Chất lượng,Pending,
T0492,PH0150,03-22-2025,Sales rep,Đổi trả,Resolved,3.0
T0493,PH0305,2024-10-22,Zalo,Giao trễ,Resolved,
T0494,PH0243,2022-03-18,Call,Sai hàng,Resolved,5.0
T0495,PH0678,2022-06-27,Email,Đổi trả,Resolved,5.0
T0496,PH0318,04-02-2024,Sales rep,Công nợ,Resolved,5.0
T0497,PH0395,29/10/2024,Email,Giao trễ,Resolved,2.0
T0498,PH0221,2025-08-01,Email,Đổi trả,Resolved,2.0
T0499,PH0529,04-07-2025,Sales rep,Chất lượng,Resolved,4.0
T0500,PH0647,2024-06-20,Sales rep,Công nợ,Resolved,
T0501,PH0725,2024-05-16,Sales rep,Chất lượng,Resolved,3.0
T0502,PH0436,2024-06-08,Email,Sai hàng,Resolved,4.0
T0503,PH0245,2025-11-19,Sales rep,Giao trễ,Resolved,3.0
T0504,PH0763,06/03/2025,Sales rep,Chất lượng,Resolved,2.0
T0505,PH0580,2023-04-07,Email,Công nợ,Escalated,
T0506,PH0314,2025-03-27,Zalo,Sai hàng,Resolved,
T0507,PH0598,2024-08-13,Email,Công nợ,Pending,3.0
T0508,PH0195,2025-10-20,Email,Sai hàng,Resolved,3.0
T0509,PH0604,2023-12-31,Zalo,Sai hàng,Escalated,
T0510,PH0027,2024-11-21,Email,Đổi trả,Escalated,
T0511,PH0531,03-28-2025,Sales rep,Giao trễ,Resolved,5.0
T0512,PH0770,2022-12-03,Email,Công nợ,Pending,3.0
T0513,PH0602,2025-03-13,Sales rep,Công nợ,Resolved,1.0
T0514,PH0351,2024-10-22,Call,Công nợ,Resolved,1.0
T0515,PH0651,2022-12-23,Email,,Resolved,4.0
T0516,PH0712,2025-02-04,Zalo,Đổi trả,Resolved,
T0517,PH0640,2025-01-02,Zalo,Giao trễ,Resolved,4.0
T0518,PH0685,2025-05-13,Email,Giao trễ,Resolved,2.0
T0519,PH0752,2024-12-02,Call,Đổi trả,Pending,
T0520,PH0368,06/10/2025,Email,Đổi trả,Resolved,4.0
T0521,PH0630,2023-06-01,Email,Công nợ,Resolved,5.0
T0522,PH0698,2025-12-20,,Chất lượng,Pending,
T0523,PH0268,2025-06-21,Pigeon,Công nợ,Resolved,4.0
T0524,PH0568,2024-02-24,Call,Sai hàng,Escalated,
T0525,PH0220,2025-07-17,Email,Đổi trả,Pending,
T0526,PH0232,2025-01-20,Call,Sai hàng,Resolved,
T0527,PH0600,2023-02-19,Sales rep,Đổi trả,Resolved,4.0
T0528,PH0599,17/04/2021,Call,Đổi trả,Resolved,3.0
T0529,PH0474,2024-07-04,Sales rep,Chất lượng,Resolved,4.0
T0530,PH0511,2025-09-11,Call,Giao trễ,Resolved,2.0
T0531,PH0412,2024-05-06,Email,Giao trễ,Resolved,1.0
T0532,PH0109,2020-07-09,Zalo,Công nợ,Escalated,
T0533,PH0231,2024-10-08,Pigeon,Công nợ,Resolved,3.0
T0534,PH0708,2025-11-10,Zalo,,Resolved,5.0
T0535,PH0369,2025-11-24,Zalo,Chất lượng,Resolved,4.0
T0536,PH0455,2025-10-16,,Sai hàng,Resolved,4.0
T0537,PH0400,2022-08-30,Email,Sai hàng,Resolved,1.0
T0538,PH0410,2025-10-16,Call,Chất lượng,Pending,
T0539,PH0524,2023-10-26,Zalo,Công nợ,Resolved,5.0
T0540,PH0515,2025-08-02,Sales rep,Công nợ,Resolved,4.0
T0541,PH0205,24/03/2025,Sales rep,Sai hàng,Resolved,3.0
T0542,PH0375,2025-11-27,,Sai hàng,Resolved,4.0
T0543,PH0793,2024-01-03,Email,Công nợ,Resolved,1.0
T0544,PH0064,2024-11-23,,Giao trễ,Resolved,4.0
T0545,PH0494,2024-10-05,Call,Giao trễ,Resolved,3.0
T0546,PH0222,2022-08-15,Sales rep,Công nợ,Resolved,3.0
T0547,PH0696,2023-08-09,Pigeon,,Resolved,5.0
T0548,PH0064,2023-08-05,Call,Giao trễ,Resolved,4.0
T0549,PH0416,2025-01-13,Sales rep,Chất lượng,Resolved,1.0
T0550,PH0619,2021-05-02,Call,Sai hàng,Resolved,5.0
T0551,PH0561,2025-07-08,Sales rep,Sai hàng,Resolved,5.0
T0552,PH0465,2024-05-29,Call,Giao trễ,Resolved,1.0
T0553,PH0198,2023-10-06,Call,Công nợ,Resolved,3.0
T0554,PH0289,2023-03-27,Zalo,Sai hàng,Resolved,2.0
T0555,PH0212,24/08/2025,Zalo,Đổi trả,Resolved,4.0
T0556,PH0233,10/01/2025,Call,Chất lượng,Resolved,5.0
T0557,PH0450,09-11-2022,Call,Đổi trả,Resolved,2.0
T0558,PH0688,2024-03-15,Zalo,Giao trễ,Resolved,1.0
T0559,PH0577,22/12/2025,Zalo,Chất lượng,Resolved,2.0
T0560,PH0410,2024-09-08,Zalo,Giao trễ,Resolved,0.0
T0561,PH0322,01-29-2022,Call,Sai hàng,Resolved,1.0
T0562,PH0068,2023-12-09,Call,Sai hàng,Pending,
T0563,PH0566,2022-07-25,Sales rep,Công nợ,Resolved,1.0
T0564,PH0560,2023-10-31,Zalo,Giao trễ,Escalated,
T0565,PH0090,2022-08-09,Email,Công nợ,Pending,
T0566,PH0327,2025-04-09,,Công nợ,Resolved,2.0
T0567,PH0379,2025-08-07,Zalo,Công nợ,Resolved,3.0
T0568,PH0359,2024-01-13,Zalo,Giao trễ,Escalated,
T0569,PH0704,2025-10-10,Sales rep,Đổi trả,Resolved,5.0
T0570,PH0055,2025-11-25,Zalo,Công nợ,Pending,3.0
T0571,PH0273,2022-09-21,Call,Giao trễ,Resolved,1.0
T0572,PH0366,2025-11-25,Sales rep,Giao trễ,Pending,
T0573,PH0208,2021-04-28,Email,Chất lượng,Pending,
T0574,PH0304,2025-09-16,Email,Giao trễ,Resolved,1.0
T0575,PH0265,2025-10-09,Sales rep,Sai hàng,Pending,
T0576,PH0196,2024-07-24,Sales rep,Công nợ,Pending,
T0577,PH0224,06/07/2025,,Chất lượng,Escalated,
T0578,PH0468,2024-11-28,,Chất lượng,Escalated,
T0579,PH0661,2025-06-05,Call,Đổi trả,Resolved,3.0
T0580,PH0564,2025-11-23,Sales rep,Công nợ,Escalated,
T0581,PH0084,2025-06-18,Zalo,Giao trễ,Resolved,3.0
T0582,PH0326,2022-08-22,,Đổi trả,Resolved,4.0
T0583,PH0557,2024-01-08,Zalo,Chất lượng,Pending,
T0584,PH0628,2025-10-01,Sales rep,Chất lượng,Escalated,
T0585,PH0731,10-30-2024,Sales rep,Đổi trả,Resolved,1.0
T0586,PH0016,2025-09-02,Email,Chất lượng,Resolved,1.0
T0587,PH0582,2020-03-17,,Giao trễ,Escalated,
T0588,PH0387,2025-08-07,Email,Chất lượng,Resolved,4.0
T0589,PH0335,10/07/2023,Call,Công nợ,Pending,
T0590,PH0466,2025-07-09,Sales rep,Giao trễ,Resolved,4.0
T0591,PH0053,2023-05-15,Zalo,Giao trễ,Resolved,7.0
T0592,PH0002,2025-06-27,Zalo,Đổi trả,Resolved,1.0
T0593,PH0098,2023-05-17,Zalo,Chất lượng,Resolved,4.0
T0594,PH0215,2021-08-08,Sales rep,Công nợ,Resolved,5.0
T0595,PH0475,2025-12-22,Sales rep,Công nợ,Escalated,
T0596,PH0475,19/09/2025,Call,Công nợ,Escalated,
T0597,PH0171,2025-06-11,Zalo,Giao trễ,Resolved,
T0598,PH0191,2023-06-21,Zalo,Chất lượng,Resolved,1.0
T0599,PH0573,2024-03-26,Zalo,Đổi trả,Resolved,1.0
T0600,PH0033,17/03/2025,Email,Sai hàng,Resolved,3.0
T0601,PH0654,2025-02-03,Pigeon,Giao trễ,Pending,
T0602,PH0474,2023-08-14,Email,Đổi trả,Pending,4.0
T0603,PH0745,2022-07-08,Zalo,,Resolved,3.0
T0604,PH0139,2023-09-25,Call,Đổi trả,Pending,
T0605,PH0387,21/08/2025,Zalo,Giao trễ,Resolved,3.0
T0606,PH0338,2024-02-26,Call,Chất lượng,Resolved,4.0
T0607,PH0513,18/08/2023,Call,Sai hàng,Resolved,4.0
T0608,PH0021,2025-10-27,Zalo,Công nợ,Resolved,5.0
T0609,PH0352,2024-06-01,Sales rep,Sai hàng,Resolved,2.0
T0610,PH0560,2025-04-29,Email,Sai hàng,Pending,
T0611,PH0222,03/09/2025,Call,Đổi trả,Resolved,4.0
T0612,PH0255,2024-10-19,Sales rep,Đổi trả,Resolved,1.0
T0613,PH0217,2025-12-31,Email,Sai hàng,Resolved,1.0
T0614,PH0341,2022-05-26,Zalo,Đổi trả,Resolved,4.0
T0615,PH0560,2025-03-29,Zalo,Công nợ,Resolved,4.0
T0616,PH0627,2025-10-03,Sales rep,Đổi trả,Pending,
T0617,PH0194,06-02-2025,Sales rep,Giao trễ,Resolved,5.0
T0618,PH0506,2025-01-02,Call,Giao trễ,Pending,
T0619,PH0034,2025-09-04,Email,Sai hàng,Resolved,4.0
T0620,PH0217,2025-07-10,Sales rep,Giao trễ,Resolved,4.0
T0621,PH0054,2025-08-29,Zalo,Chất lượng,Escalated,
T0622,PH0509,2024-04-16,Sales rep,Công nợ,Resolved,4.0
T0623,PH0622,06-18-2025,Call,,Resolved,5.0
T0624,PH0636,2023-04-02,,Công nợ,Pending,
T0625,PH0019,11/03/2025,Call,Công nợ,Resolved,1.0
T0626,PH0784,2024-07-26,Call,Công nợ,Resolved,4.0
T0627,PH0061,10-02-2025,Email,Đổi trả,Pending,4.0
T0628,PH0063,2025-07-11,Sales rep,Đổi trả,Resolved,4.0
T0629,PH0767,2025-10-06,Call,Đổi trả,Pending,
T0630,PH0565,2022-06-28,Sales rep,Sai hàng,Pending,
T0631,PH0770,2025-10-14,Sales rep,,Resolved,5.0
T0632,PH0613,2025-03-24,Email,Sai hàng,Escalated,
T0633,PH0799,2025-09-25,Sales rep,Sai hàng,Resolved,4.0
T0634,PH0121,10-16-2025,Email,Sai hàng,Resolved,3.0
T0635,PH0458,11-18-2025,Zalo,Công nợ,Resolved,5.0
T0636,PH0506,2023-10-26,Zalo,Giao trễ,Resolved,5.0
T0637,PH0627,2025-05-22,Call,Sai hàng,Resolved,4.0
T0638,PH0667,2022-07-12,,,Resolved,3.0
T0639,PH0028,09-04-2023,Sales rep,Công nợ,Resolved,1.0
T0640,PH0108,2025-08-01,Call,Chất lượng,Escalated,
T0641,PH0352,07/03/2022,Call,Đổi trả,Resolved,-1.0
T0642,PH0686,09/09/2020,Call,Giao trễ,Resolved,1.0
T0643,PH0697,18/08/2025,Email,Chất lượng,Escalated,
T0644,PH0780,2022-10-18,Call,Đổi trả,Resolved,1.0
T0645,PH0509,2023-09-28,Zalo,Giao trễ,Resolved,1.0
T0646,PH0269,2025-06-05,Email,Giao trễ,Escalated,
T0647,PH0192,2025-01-12,Sales rep,Sai hàng,Pending,
T0648,PH0254,12-25-2023,Zalo,Sai hàng,Resolved,2.0
T0649,PH0308,2025-12-23,Call,Sai hàng,Resolved,5.0
T0650,PH0450,20/10/2023,Sales rep,Công nợ,Resolved,2.0
T0651,PH0546,2021-09-22,Call,Công nợ,Resolved,2.0
T0652,PH0387,06-19-2024,Call,Chất lượng,Pending,
T0653,PH0168,2025-06-27,Zalo,Đổi trả,Pending,
T0654,PH0699,2025-08-04,Sales rep,Đổi trả,Pending,
T0655,PH0563,07-25-2022,Call,Đổi trả,Resolved,3.0
T0656,PH0699,01-11-2023,Sales rep,Chất lượng,Resolved,1.0
T0657,PH0011,2025-08-03,Email,Chất lượng,Resolved,5.0
T0658,PH0556,2025-01-22,Zalo,Đổi trả,Pending,4.0
T0659,PH0444,2022-03-05,Sales rep,Đổi trả,Resolved,4.0
T0660,PH0775,22/12/2025,Sales rep,Đổi trả,Resolved,1.0
T0661,PH0553,2024-03-12,Zalo,,Resolved,4.0
T0662,PH0270,2024-11-14,Call,Đổi trả,Resolved,4.0
T0663,PH0411,2025-05-17,Call,Công nợ,Resolved,2.0
T0664,PH0439,2024-08-01,Call,Giao trễ,Resolved,3.0
T0665,PH0367,2025-12-09,,Sai hàng,Pending,1.0
T0666,PH0582,2021-07-21,Email,Giao trễ,Resolved,1.0
T0667,PH0635,2024-03-11,Email,,Resolved,5.0
T0668,PH0028,12/05/2024,Sales rep,Đổi trả,Resolved,5.0
T0669,PH0073,03-30-2024,Sales rep,Đổi trả,Resolved,1.0
T0670,PH0377,2023-07-08,Email,Sai hàng,Resolved,1.0
T0671,PH0461,2023-11-08,Zalo,Sai hàng,Pending,
T0672,PH0292,2025-05-01,Zalo,,Resolved,1.0
T0673,PH0077,2024-04-03,Zalo,Giao trễ,Resolved,2.0
T0674,PH0021,2024-10-30,Email,Sai hàng,Resolved,3.0
T0675,PH0314,2025-02-24,Call,,Pending,3.0
T0676,PH0797,2023-10-18,Sales rep,Sai hàng,Escalated,
T0677,PH0521,08/05/2022,Zalo,Giao trễ,Resolved,2.0
T0678,PH0492,2025-06-06,Sales rep,Đổi trả,Resolved,2.0
T0679,PH0648,2022-09-02,Email,Đổi trả,Resolved,4.0
T0680,PH0346,2024-06-30,Email,Đổi trả,Resolved,4.0
T0681,PH0305,2025-06-24,Email,Sai hàng,Resolved,1.0
T0682,PH0404,2025-08-11,Email,Giao trễ,Pending,
T0683,PH0440,2023-08-28,Zalo,Chất lượng,Resolved,4.0
T0684,PH0145,2025-06-26,Email,Sai hàng,Pending,
T0685,PH0417,2023-05-26,Zalo,,Pending,
T0686,PH0037,2023-08-05,Call,Sai hàng,Escalated,
T0687,PH0060,2025-03-14,Sales rep,Chất lượng,Resolved,4.0
T0688,PH0091,2024-10-18,Zalo,Chất lượng,Resolved,1.0
T0689,PH0241,2025-03-15,Sales rep,Giao trễ,Pending,
T0690,PH0791,10-30-2025,Email,Chất lượng,Pending,
T0691,PH0068,30/08/2025,Call,,Resolved,4.0
T0692,PH0338,13/10/2022,Email,Công nợ,Pending,
T0693,PH0365,2023-12-26,Zalo,Đổi trả,Pending,
T0694,PH0769,2025-09-21,Zalo,Công nợ,Resolved,2.0
T0695,PH0377,2024-03-17,Zalo,Sai hàng,Pending,
T0696,PH0245,2025-12-16,Call,Công nợ,Resolved,3.0
T0697,PH0599,2023-11-12,Sales rep,Chất lượng,Resolved,1.0
T0698,PH0518,2024-03-01,Zalo,Chất lượng,Resolved,5.0
T0699,PH0539,02/02/2025,Zalo,Chất lượng,Pending,
T0700,PH0630,21/08/2025,Email,Công nợ,Pending,
