pharmacy_id,pharmacy_type,establishment_year,province,region,onboarding_date,acquisition_channel,credit_tier
PH0319,Phòng khám,2014.0,Bắc Ninh,Bắc,2024-05-29,Referral,
PH0320,Quầy thuốc,2006.0,Đồng Nai,Nam,2024-12-16,Sales rep,C
PH0321,Quầy thuốc,2001.0,TP.HCM,Nam,2023-07-09,Web portal,B
PH0322,Nhà thuốc,1998.0,Hải Dương,Bắc,2020-09-05,Referral,
PH0323,Nhà thuốc,2013.0,Bình Dương,Nam,2024-08-23,Hotline,C
PH0324,Nhà thuốc,2004.0,Bắc Ninh,Bắc,2021-12-03,Web portal,B
PH0325,Bệnh viện,2020.0,An Giang,Nam,2021-07-29,Hotline,B
PH0326,Nhà thuốc,2020.0,Bắc Ninh,Bắc,2022-03-19,Referral,C
PH0327,Nhà thuốc,2018.0,Thanh Hóa,Trung,2023-06-27,Web portal,A
PH0328,Nhà thuốc,2018.0,Thanh Hóa,Trung,2022-04-30,Sales rep,B
PH0329,Quầy thuốc,2022.0,Lạng Sơn,Bắc,2025-04-20,Referral,A
PH0330,Quầy thuốc,2004.0,Bình Định,Trung,2021-04-20,Referral,C
PH0331,Nhà thuốc,2019.0,Hải Phòng,Bắc,2021-02-21,Hotline,B
PH0332,,2011.0,Hải Phòng,Bắc,2021-06-30,Sales rep,C
PH0333,Phòng khám,2001.0,Thái Nguyên,Bắc,2023-05-07,Web portal,B
PH0334,Bệnh viện,2023.0,Bắc Ninh,Bắc,06-01-2023,Hotline,A
PH0335,Nhà thuốc,2022.0,Thừa Thiên Huế,Trung,2023-04-08,Referral,A
PH0336,Phòng khám,2020.0,Đà Nẵng,Trung,2024-12-26,Sales rep,C
PH0337,Nhà thuốc,2007.0,Hải Phòng,Bắc,2024-12-12,Hotline,B
PH0338,Bệnh viện,2022.0,Đồng Nai,Nam,01-15-2022,Hotline,C
PH0339,Quầy thuốc,2014.0,Long An,Nam,16/01/2020,Sales rep,C
PH0340,Quầy thuốc,2001.0,Khánh Hòa,Trung,2021-11-29,Web portal,A
PH0341,Nhà thuốc,1996.0,Bắc Ninh,Bắc,04-15-2022,Hotline,B
PH0342,Phòng khám,2017.0,Thanh Hóa,Trung,2023-03-22,,C
PH0343,Nhà thuốc,1998.0,Đà Nẵng,Trung,2020-04-13,Hotline,B
PH0344,Nhà thuốc,2004.0,Tiền Giang,Nam,01-14-2020,Referral,C
PH0345,Nhà thuốc,2002.0,Tiền Giang,Nam,2023-04-18,Web portal,C
PH0346,Nhà thuốc,2011.0,Thừa Thiên Huế,Trung,2023-12-13,,A
PH0347,Phòng khám,2012.0,Bà Rịa - Vũng Tàu,Nam,2020-12-13,Web portal,C
PH0348,,2005.0,Đồng Nai,Nam,04-15-2022,Hotline,A
PH0349,Nhà thuốc,1996.0,Quảng Ninh,Bắc,2023-11-24,Referral,A
PH0350,Quầy thuốc,2007.0,Long An,Nam,2022-04-04,Sales rep,A
PH0351,Nhà thuốc,1995.0,Đà Nẵng,Trung,2024-05-09,Hotline,B
PH0352,Quầy thuốc,2012.0,,Bắc,2020-11-21,Hotline,B
PH0353,Nhà thuốc,2021.0,Quảng Ninh,Bắc,2023-01-20,Web portal,A
PH0354,Quầy thuốc,2017.0,Quảng Ninh,Bắc,11-09-2020,,A
PH0355,Nhà thuốc,1995.0,Quảng Ninh,Bắc,10/11/2023,Web portal,A
PH0356,Nhà thuốc,2007.0,Hà Nội,Bắc,2020-05-19,Hotline,B
PH0357,Nhà thuốc,1999.0,Khánh Hòa,Trung,2022-09-07,Sales rep,B
PH0358,Quầy thuốc,2008.0,Thái Nguyên,Bắc,2024-08-08,Sales rep,B
PH0359,,2018.0,Đà Nẵng,Trung,2022-12-07,Hotline,A
PH0360,Phòng khám,2004.0,Nam Định,Bắc,2022-07-20,Referral,B
PH0361,Nhà thuốc,1997.0,Đà Nẵng,Trung,05/01/2023,Referral,C
PH0362,Nhà thuốc,2016.0,Thừa Thiên Huế,Trung,2020-06-06,Referral,C
PH0363,Quầy thuốc,1997.0,Khánh Hòa,Trung,29/11/2024,Referral,C
PH0364,Phòng khám,2004.0,Bà Rịa - Vũng Tàu,Nam,07/07/2021,Sales rep,A
PH0365,Nhà thuốc,2002.0,Bắc Ninh,Bắc,2023-12-10,Hotline,A
PH0366,N/A,2005.0,Bà Rịa - Vũng Tàu,Nam,2023-02-14,,C
PH0367,Nhà thuốc,2013.0,Hải Dương,Bắc,2024-12-31,Sales rep,B
PH0368,Nhà thuốc,2011.0,Quảng Nam,Trung,2022-07-25,Sales rep,B
PH0369,Nhà thuốc,2022.0,Bắc Ninh,Bắc,2024-05-28,Referral,B
PH0370,Nhà thuốc,1997.0,Thanh Hóa,Trung,2024-02-16,Sales rep,A
PH0371,Quầy thuốc,2013.0,Quảng Ninh,Bắc,2020-12-10,Web portal,C
PH0372,Nhà thuốc,1800.0,Nam Định,Bắc,2024-11-07,Web portal,B
PH0373,Nhà thuốc,,Đồng Nai,Nam,2024-11-01,,A
PH0374,,1998.0,Đồng Nai,Nam,2021-12-16,Sales rep,B
PH0375,Quầy thuốc,2024.0,Thanh Hóa,Trung,2024-07-23,Sales rep,B
PH0376,Quầy thuốc,2004.0,Bà Rịa - Vũng Tàu,Nam,2024-09-25,Hotline,B
PH0377,Quầy thuốc,2023.0,Bình Dương,Nam,2023-04-07,Sales rep,B
PH0378,,,Nam Định,Bắc,14/03/2020,Sales rep,C
PH0379,Quầy thuốc,2006.0,Hà Nội,Bắc,2024-09-12,Referral,B
PH0380,Nhà thuốc,2021.0,Quảng Nam,Trung,2021-11-09,Sales rep,C
PH0381,Quầy thuốc,1997.0,Khánh Hòa,Trung,08-20-2022,Web portal,C
PH0382,,2009.0,Lạng Sơn,Bắc,2022-10-03,Hotline,C
PH0383,Quầy thuốc,2011.0,Quảng Ninh,Bắc,10-20-2022,Referral,A
PH0384,Quầy thuốc,2022.0,Thanh Hóa,Trung,2022-10-29,Web portal,A
PH0385,,2021.0,Tiền Giang,Nam,2025-05-23,Referral,B
PH0386,Nhà thuốc,2010.0,Đắk Lắk,Trung,2021-05-21,Web portal,C
PH0387,Phòng khám,2023.0,Bắc Ninh,Bắc,2023-11-21,Hotline,B
PH0388,Phòng khám,2019.0,Đắk Lắk,Trung,2022-05-06,Referral,B
PH0389,Quầy thuốc,2020.0,Quảng Ninh,Bắc,2022-06-08,Sales rep,
PH0390,Phòng khám,2014.0,Bình Định,Trung,2022-02-14,Referral,B
PH0391,Nhà thuốc,2013.0,,Bắc,2022-01-08,Hotline,B
PH0392,Nhà thuốc,1998.0,Nghệ An,Trung,2024-06-29,Hotline,C
PH0393,,,Cần Thơ,Nam,2021-02-11,Sales rep,C
PH0394,Phòng khám,2000.0,An Giang,Nam,2022-10-09,Sales rep,C
PH0395,Phòng khám,2001.0,Hải Dương,Bắc,2021-05-13,Hotline,
PH0396,Nhà thuốc,2014.0,Quảng Nam,Trung,2020-02-15,Hotline,B
PH0397,Nhà thuốc,2013.0,Thừa Thiên Huế,Trung,2024-06-05,Referral,A
PH0398,Nhà thuốc,2012.0,Hà Nội,Bắc,26/05/2020,Referral,A
PH0399,Nhà thuốc,1995.0,,Trung,2021-08-12,Hotline,A
PH0400,Phòng khám,2010.0,Khánh Hòa,Trung,2021-12-26,Web portal,C
PH0401,Quầy thuốc,2010.0,,Nam,17/02/2025,Referral,B
PH0402,Nhà thuốc,2010.0,Quảng Nam,Trung,2022-09-26,Referral,A
PH0403,Phòng khám,1999.0,Đà Nẵng,Trung,2021-10-07,Hotline,A
PH0404,Phòng khám,1997.0,Lạng Sơn,Bắc,2025-01-22,Web portal,B
PH0405,Quầy thuốc,2021.0,Nam Định,Bắc,2024-05-25,Hotline,B
PH0406,Nhà thuốc,2005.0,Nghệ An,Trung,2025-02-12,Referral,B
PH0407,Bệnh viện,2000.0,Đồng Nai,Nam,2020-07-23,Sales rep,B
PH0408,Phòng khám,1996.0,Khánh Hòa,Trung,2025-06-21,Hotline,
PH0409,Quầy thuốc,2011.0,Cần Thơ,Nam,2022-04-07,Referral,C
PH0410,Nhà thuốc,2002.0,,Bắc,2022-04-13,Sales rep,B
PH0411,Quầy thuốc,2001.0,Long An,Nam,2020-03-13,Referral,B
PH0412,Quầy thuốc,2015.0,Bắc Ninh,Bắc,16/04/2023,Referral,C
PH0413,Quầy thuốc,2012.0,Hải Dương,Bắc,06-28-2023,Hotline,
PH0414,Nhà thuốc,2001.0,Bình Định,Trung,2021-03-24,Web portal,A
PH0415,Phòng khám,2012.0,Thanh Hóa,Trung,2020-12-10,Web portal,B
PH0416,,2022.0,Bắc Ninh,Bắc,2023-12-13,Referral,C
PH0417,Nhà thuốc,2014.0,Hà Nội,Bắc,2023-02-10,Sales rep,B
PH0418,Quầy thuốc,2000.0,An Giang,Nam,2025-06-28,Hotline,A
PH0419,Nhà thuốc,2016.0,An Giang,Nam,2022-06-16,Sales rep,B
PH0420,Nhà thuốc,2021.0,Bình Định,Trung,17/02/2022,Referral,A
PH0421,Phòng khám,2024.0,Quảng Ninh,Bắc,06-27-2024,Web portal,C
PH0422,Bệnh viện,2018.0,Khánh Hòa,Trung,2023-08-21,Hotline,B
PH0423,Nhà thuốc,1998.0,Thừa Thiên Huế,Trung,2020-12-26,Referral,B
PH0424,Bệnh viện,2006.0,Tiền Giang,Nam,2020-07-17,Referral,B
PH0425,Phòng khám,2011.0,Đà Nẵng,Trung,2024-06-01,Web portal,
PH0426,Phòng khám,1999.0,An Giang,Nam,18/03/2024,Referral,B
PH0427,Nhà thuốc,2002.0,Bình Định,Trung,2022-08-29,Web portal,C
PH0428,Bệnh viện,1996.0,Đắk Lắk,Trung,2023-12-09,Web portal,C
PH0429,Quầy thuốc,2009.0,Tiền Giang,Nam,2021-08-23,Referral,C
PH0430,Bệnh viện,1999.0,Bắc Ninh,Bắc,2025-05-17,Referral,C
PH0431,Phòng khám,1999.0,Lạng Sơn,Bắc,2021-07-01,Sales rep,A
PH0432,Quầy thuốc,2021.0,Bà Rịa - Vũng Tàu,Nam,2021-12-30,Web portal,A
PH0433,Nhà thuốc,2003.0,Quảng Nam,Trung,2023-04-17,Referral,A
PH0434,N/A,2004.0,Đà Nẵng,Trung,2022-03-04,Referral,C
PH0435,Phòng khám,1995.0,Quảng Ninh,Bắc,2020-03-17,Web portal,B
PH0436,Nhà thuốc,2010.0,Hà Nội,Bắc,2023-06-24,Referral,C
PH0437,Nhà thuốc,2002.0,Bình Định,Trung,2020-09-23,Sales rep,C
PH0438,Phòng khám,1995.0,Hải Phòng,Bắc,2024-09-08,Hotline,C
PH0439,,1999.0,Quảng Nam,Trung,2023-08-11,Referral,A
PH0440,Quầy thuốc,2014.0,Hà Nội,Bắc,2021-11-18,Hotline,
PH0441,Nhà thuốc,1995.0,Bình Dương,Nam,2024-01-27,Referral,B
PH0442,Nhà thuốc,,Bình Định,Trung,2021-01-08,Web portal,A
PH0443,Quầy thuốc,2023.0,Long An,Nam,2025-01-27,Referral,
PH0444,Phòng khám,2005.0,Khánh Hòa,Trung,2021-11-08,Sales rep,B
PH0445,Bệnh viện,2002.0,TP.HCM,Nam,2025-03-24,Referral,A
PH0446,Nhà thuốc,2007.0,Thái Nguyên,Bắc,2023-10-07,Web portal,B
PH0447,Nhà thuốc,2015.0,TP.HCM,Nam,2024-08-08,Hotline,B
PH0448,Nhà thuốc,2012.0,Lạng Sơn,Bắc,09-13-2023,Hotline,B
PH0449,Bệnh viện,1998.0,Lạng Sơn,Bắc,01/02/2024,Web portal,B
PH0450,Quầy thuốc,2016.0,Bình Định,Trung,2022-06-14,Sales rep,B
PH0451,Quầy thuốc,2022.0,Thanh Hóa,Trung,2025-01-07,Sales rep,
PH0452,Nhà thuốc,2022.0,Đà Nẵng,Trung,2023-06-29,Referral,B
PH0453,Quầy thuốc,1998.0,Bình Định,Trung,30/07/2020,Sales rep,A
PH0454,Quầy thuốc,2006.0,Bình Định,Trung,22/06/2025,Web portal,A
PH0455,Phòng khám,1996.0,Bà Rịa - Vũng Tàu,Nam,2024-09-10,Hotline,B
PH0456,Quầy thuốc,2000.0,Lạng Sơn,Bắc,2022-01-17,Hotline,B
PH0457,Bệnh viện,2014.0,Thái Nguyên,Bắc,2023-12-12,Referral,A
PH0458,Nhà thuốc,2022.0,Thừa Thiên Huế,Trung,05-13-2025,,B
PH0459,Quầy thuốc,2012.0,Quảng Nam,Trung,2024-07-14,Sales rep,B
PH0460,Quầy thuốc,2015.0,Đà Nẵng,Trung,11-28-2024,Referral,C
PH0461,Quầy thuốc,2001.0,TP.HCM,Nam,2021-02-09,Web portal,A
PH0462,Nhà thuốc,2006.0,Đắk Lắk,Trung,2020-05-25,Hotline,C
PH0463,Bệnh viện,2016.0,Nam Định,Bắc,2024-09-23,Sales rep,B
PH0464,Bệnh viện,2004.0,Bình Dương,Nam,2023-09-05,Hotline,A
PH0465,Nhà thuốc,2020.0,Bà Rịa - Vũng Tàu,Nam,2023-06-18,Hotline,B
PH0466,Quầy thuốc,2023.0,,Bắc,19/10/2023,Referral,C
PH0467,,1996.0,Hà Nội,Bắc,2021-04-02,Referral,B
PH0468,Quầy thuốc,1998.0,Khánh Hòa,Trung,2024-07-17,Sales rep,B
PH0469,Nhà thuốc,1997.0,Bà Rịa - Vũng Tàu,Nam,2021-06-23,Hotline,B
PH0470,Quầy thuốc,2010.0,Đồng Nai,Nam,2020-10-18,Referral,B
PH0471,Quầy thuốc,2024.0,Thái Nguyên,Bắc,2024-12-14,Sales rep,B
PH0472,Quầy thuốc,1999.0,Lạng Sơn,Bắc,16/01/2021,,
PH0473,Quầy thuốc,1998.0,Đồng Nai,Nam,02/10/2020,Hotline,C
PH0474,Nhà thuốc,2003.0,Bình Định,Trung,2022-11-30,Sales rep,B
PH0475,Nhà thuốc,2018.0,Đồng Nai,Nam,2025-03-21,Web portal,C
PH0476,Quầy thuốc,1997.0,Hà Nội,Bắc,2024-07-10,Sales rep,B
PH0477,Phòng khám,2012.0,TP.HCM,Nam,2020-10-09,Web portal,B
PH0478,Nhà thuốc,2017.0,Quảng Ninh,Bắc,2024-01-02,Web portal,C
PH0479,Nhà thuốc,2004.0,Nghệ An,Trung,13/09/2023,Referral,C
PH0480,Bệnh viện,2002.0,Hà Nội,Bắc,08/10/2024,,C
PH0481,Quầy thuốc,1996.0,Tiền Giang,Nam,2021-07-03,Web portal,C
PH0482,Nhà thuốc,2011.0,Thanh Hóa,Trung,2022-06-04,Sales rep,B
PH0483,Quầy thuốc,2004.0,Thái Nguyên,Bắc,2020-09-10,Hotline,A
PH0484,Phòng khám,1996.0,Đồng Nai,Nam,2022-05-07,Sales rep,C
PH0485,Nhà thuốc,2011.0,Khánh Hòa,Trung,06-23-2023,Referral,A
PH0486,Khác,2007.0,Hải Dương,Bắc,2022-05-28,Web portal,A
PH0487,Phòng khám,,Quảng Ninh,Bắc,2024-01-22,Sales rep,C
PH0488,Nhà thuốc,2023.0,Thanh Hóa,Trung,2023-10-29,Sales rep,C
PH0489,Phòng khám,1998.0,Đồng Nai,Nam,2021-02-06,Sales rep,B
PH0490,Nhà thuốc,2014.0,Bà Rịa - Vũng Tàu,Nam,08-18-2022,Web portal,B
PH0491,Quầy thuốc,2001.0,Bà Rịa - Vũng Tàu,Nam,20/10/2021,Sales rep,C
PH0492,Phòng khám,2002.0,Thái Nguyên,Bắc,2024-11-21,Web portal,A
PH0493,Nhà thuốc,2017.0,Nghệ An,Trung,2020-02-03,Sales rep,B
PH0494,Quầy thuốc,2022.0,,Nam,2023-12-04,Web portal,A
PH0495,Phòng khám,2004.0,Hà Nội,Bắc,2023-12-23,Web portal,B
PH0496,Quầy thuốc,2012.0,Quảng Nam,Trung,2023-11-12,Referral,A
PH0497,Nhà thuốc,2010.0,Đà Nẵng,Trung,2023-02-13,Sales rep,C
PH0498,Nhà thuốc,2023.0,Long An,Nam,2024-12-27,Sales rep,B
PH0499,Nhà thuốc,2015.0,Đồng Nai,Nam,2021-03-05,Web portal,
PH0500,Nhà thuốc,2013.0,Đồng Nai,Nam,2024-06-22,Web portal,C
PH0501,Quầy thuốc,2023.0,Lạng Sơn,Bắc,2024-08-23,Referral,A
PH0502,Quầy thuốc,1998.0,Nghệ An,Trung,2025-01-08,Referral,C
PH0503,Nhà thuốc,2010.0,Long An,Nam,2023-09-15,Sales rep,B
PH0504,Phòng khám,2002.0,TP.HCM,Nam,2022-01-24,Web portal,B
PH0505,Nhà thuốc,,Thái Nguyên,Bắc,2022-04-29,Web portal,A
PH0506,Nhà thuốc,1995.0,Hà Nội,Bắc,2021-07-05,Hotline,A
PH0507,Quầy thuốc,2016.0,Thanh Hóa,Trung,13/07/2023,Web portal,A
PH0508,Quầy thuốc,2018.0,Khánh Hòa,Trung,2022-12-18,Hotline,B
PH0509,Nhà thuốc,2019.0,Bình Định,Trung,11-17-2021,Web portal,A
PH0510,Phòng khám,1995.0,Bình Định,Trung,2023-04-26,Web portal,
PH0511,Quầy thuốc,2009.0,Đà Nẵng,Trung,13/01/2025,Hotline,B
PH0512,Quầy thuốc,2017.0,Hà Nội,Bắc,2023-06-02,Web portal,B
PH0513,Bệnh viện,2020.0,Long An,Nam,2022-04-04,Hotline,A
PH0514,Quầy thuốc,1900.0,Tiền Giang,Nam,03/09/2022,Hotline,B
PH0515,Nhà thuốc,2012.0,Cần Thơ,Nam,2024-09-09,Sales rep,C
PH0516,Nhà thuốc,1998.0,Lạng Sơn,Bắc,2024-01-12,Hotline,B
PH0517,Nhà thuốc,2011.0,Khánh Hòa,Trung,2025-04-22,Hotline,A
PH0518,Phòng khám,1997.0,Đà Nẵng,Trung,2021-11-27,Web portal,
PH0519,,2020.0,Hà Nội,Bắc,2025-03-22,Hotline,B
PH0520,Nhà thuốc,2016.0,TP.HCM,Nam,04-08-2022,Sales rep,C
PH0521,,2002.0,Lạng Sơn,Bắc,2020-01-19,Sales rep,A
PH0522,Quầy thuốc,2003.0,Thanh Hóa,Trung,2025-01-18,Hotline,C
PH0523,Phòng khám,2019.0,Bình Dương,Nam,2021-01-05,Sales rep,B
PH0524,Nhà thuốc,2016.0,Thừa Thiên Huế,Trung,2023-03-17,Web portal,C
PH0525,Nhà thuốc,2014.0,Thừa Thiên Huế,Trung,2020-11-04,Web portal,A
PH0526,Nhà thuốc,2021.0,Nghệ An,Trung,2023-07-15,,B
PH0527,Nhà thuốc,2003.0,Hà Nội,Bắc,2020-11-08,Hotline,C
PH0528,Nhà thuốc,2011.0,Khánh Hòa,Trung,2022-04-17,Web portal,B
PH0529,Bệnh viện,2001.0,Thừa Thiên Huế,Trung,2023-05-04,Hotline,C
PH0530,Phòng khám,2006.0,Đắk Lắk,Trung,2023-11-29,Sales rep,C
PH0531,Quầy thuốc,2000.0,Bà Rịa - Vũng Tàu,Nam,11-11-2024,Sales rep,C
PH0532,Nhà thuốc,2005.0,Hà Nội,Bắc,2023-12-26,,A
PH0533,Quầy thuốc,2016.0,Nghệ An,Trung,28/01/2021,Hotline,A
PH0534,Phòng khám,,Tiền Giang,Nam,2023-07-03,Hotline,B
PH0535,Nhà thuốc,2021.0,Bình Dương,Nam,2021-12-07,Referral,C
PH0536,Phòng khám,2006.0,Bình Dương,Nam,2025-03-16,Referral,C
PH0537,Quầy thuốc,1997.0,TP.HCM,Nam,2020-01-11,Hotline,B
PH0538,Nhà thuốc,2012.0,An Giang,Nam,2022-10-25,Referral,B
PH0539,Nhà thuốc,2023.0,Long An,Nam,2024-08-13,Web portal,B
PH0540,Nhà thuốc,1999.0,Bình Định,Trung,2024-02-25,,B
PH0541,Quầy thuốc,2021.0,TP.HCM,Nam,2022-03-19,Web portal,B
PH0542,Quầy thuốc,2004.0,Đà Nẵng,Trung,18/10/2021,Sales rep,A
PH0543,Nhà thuốc,2013.0,Khánh Hòa,Trung,2023-12-14,Sales rep,A
PH0544,Nhà thuốc,2024.0,Quảng Nam,Trung,31/03/2024,Hotline,C
PH0545,Phòng khám,2022.0,Bắc Ninh,Bắc,2023-02-09,Web portal,
PH0546,Nhà thuốc,1999.0,Thừa Thiên Huế,Trung,07/09/2021,Sales rep,A
PH0547,Nhà thuốc,2005.0,Thanh Hóa,Trung,2020-06-17,Sales rep,A
PH0548,Quầy thuốc,2017.0,Bình Dương,Nam,2021-02-27,Hotline,B
PH0549,Phòng khám,2007.0,Quảng Nam,Trung,2023-09-03,Hotline,B
PH0550,Nhà thuốc,2021.0,Thừa Thiên Huế,Trung,02-02-2025,Referral,B
PH0551,Nhà thuốc,2011.0,Thái Nguyên,Bắc,2024-08-03,Hotline,C
PH0552,Nhà thuốc,2018.0,,Trung,2023-02-28,Sales rep,C
PH0553,Phòng khám,2003.0,Khánh Hòa,Trung,2020-07-21,Hotline,C
PH0554,Phòng khám,2002.0,Bắc Ninh,Bắc,2023-12-30,Sales rep,B
PH0555,Nhà thuốc,2023.0,Nam Định,Bắc,2024-10-21,,B
PH0556,Quầy thuốc,1996.0,Bình Định,Trung,2023-05-04,Web portal,B
PH0557,Bệnh viện,2005.0,,Trung,2020-06-05,Hotline,B
PH0558,Nhà thuốc,1997.0,Bình Định,Trung,2020-12-22,Hotline,B
PH0559,???,2005.0,TP.HCM,Nam,2024-11-12,Hotline,B
PH0560,Nhà thuốc,2022.0,Tiền Giang,Nam,2022-03-11,Sales rep,C
PH0561,Nhà thuốc,2022.0,Cần Thơ,Nam,2025-01-08,Sales rep,B
PH0562,Bệnh viện,1999.0,Quảng Ninh,Bắc,2022-02-25,Sales rep,B
PH0563,Nhà thuốc,2019.0,Thanh Hóa,Trung,2021-04-04,Sales rep,A
PH0564,Nhà thuốc,2004.0,Long An,Nam,2024-08-04,Sales rep,B
PH0565,Quầy thuốc,1996.0,Bình Định,Trung,2020-11-25,Web portal,C
PH0566,Quầy thuốc,2008.0,Thái Nguyên,Bắc,2020-02-17,,B
PH0567,Phòng khám,2007.0,Khánh Hòa,Trung,2024-06-04,Hotline,B
PH0568,Nhà thuốc,2005.0,Hải Phòng,Bắc,2023-07-29,Referral,C
PH0569,Quầy thuốc,2001.0,Hải Phòng,Bắc,2025-04-01,Referral,B
PH0570,Quầy thuốc,,,Nam,2020-07-15,Sales rep,A
PH0571,Bệnh viện,2007.0,Lạng Sơn,Bắc,14/12/2020,Referral,B
PH0572,Quầy thuốc,2000.0,Đồng Nai,Nam,2021-10-04,Referral,C
PH0573,Nhà thuốc,2013.0,Bà Rịa - Vũng Tàu,Nam,2021-09-07,Sales rep,A
PH0574,Nhà thuốc,2017.0,Đà Nẵng,Trung,2023-01-04,Referral,B
PH0575,Quầy thuốc,1998.0,Đắk Lắk,Trung,2025-04-19,,C
PH0576,,1998.0,Bà Rịa - Vũng Tàu,Nam,2023-02-03,Sales rep,A
PH0577,Quầy thuốc,2021.0,Đồng Nai,Nam,2025-04-19,Hotline,C
PH0578,Quầy thuốc,2021.0,Cần Thơ,Nam,2023-03-05,Sales rep,B
PH0579,Phòng khám,2021.0,An Giang,Nam,04-22-2022,Referral,A
PH0580,Bệnh viện,2009.0,Đà Nẵng,Trung,2022-02-12,Web portal,B
PH0581,Phòng khám,2013.0,Cần Thơ,Nam,2020-12-22,Web portal,C
PH0582,Nhà thuốc,2013.0,Long An,Nam,2020-02-19,Hotline,A
PH0583,Nhà thuốc,2017.0,Thái Nguyên,Bắc,2022-03-10,Referral,B
PH0584,Quầy thuốc,2016.0,Khánh Hòa,Trung,2023-11-17,Sales rep,C
PH0585,Bệnh viện,1996.0,An Giang,Nam,2021-03-30,Hotline,A
PH0586,Quầy thuốc,2003.0,Đồng Nai,Nam,2022-01-16,Referral,B
PH0587,,2023.0,Đắk Lắk,Trung,22/02/2024,Sales rep,C
PH0588,Nhà thuốc,2000.0,An Giang,Nam,2021-11-05,Sales rep,C
PH0589,Quầy thuốc,2002.0,Đồng Nai,Nam,2022-10-06,Sales rep,A
PH0590,Nhà thuốc,2030.0,,Bắc,2024-06-19,Web portal,C
PH0591,Nhà thuốc,1996.0,Lạng Sơn,Bắc,07-21-2023,Sales rep,B
PH0592,Nhà thuốc,1998.0,Đà Nẵng,Trung,2025-01-18,Referral,C
PH0593,Quầy thuốc,2010.0,,Bắc,2023-02-18,Hotline,A
PH0594,Quầy thuốc,2003.0,Nghệ An,Trung,2023-09-12,Web portal,B
PH0595,Phòng khám,2013.0,Lạng Sơn,Bắc,2023-05-04,Web portal,A
PH0596,Bệnh viện,2003.0,Khánh Hòa,Trung,2021-07-29,Referral,A
PH0597,Nhà thuốc,2017.0,Nghệ An,Trung,15/07/2020,Referral,
PH0598,Nhà thuốc,2020.0,Long An,Nam,2024-04-18,Hotline,C
PH0599,Phòng khám,2001.0,Thanh Hóa,Trung,2020-05-26,Referral,A
PH0600,,2017.0,Bà Rịa - Vũng Tàu,Nam,03-05-2020,Hotline,A
PH0601,Phòng khám,2018.0,Đồng Nai,Nam,2025-01-03,Web portal,B
PH0602,Nhà thuốc,2016.0,TP.HCM,Nam,2024-12-29,Web portal,C
PH0603,Quầy thuốc,1998.0,Nam Định,Bắc,09-16-2024,Referral,B
PH0604,Nhà thuốc,1998.0,Hải Dương,Bắc,2023-05-10,Hotline,B
PH0605,Nhà thuốc,2010.0,Đà Nẵng,Trung,2020-12-27,Referral,A
PH0606,Quầy thuốc,1996.0,Hải Phòng,Bắc,2025-06-14,,C
PH0607,Quầy thuốc,1997.0,Đắk Lắk,Trung,2020-08-16,Web portal,B
PH0608,Quầy thuốc,2013.0,An Giang,Nam,10-03-2023,Referral,B
PH0609,Quầy thuốc,2018.0,Đắk Lắk,Trung,2020-12-11,Web portal,A
PH0610,Nhà thuốc,2008.0,Hà Nội,Bắc,2025-03-29,Sales rep,B
PH0611,Phòng khám,2001.0,Tiền Giang,Nam,2025-04-18,Sales rep,B
PH0612,Nhà thuốc,1999.0,Quảng Ninh,Bắc,2022-02-02,Referral,
PH0613,Quầy thuốc,1995.0,Bình Dương,Nam,2020-01-06,Sales rep,B
PH0614,Quầy thuốc,2022.0,Nghệ An,Trung,2022-01-25,Web portal,B
PH0615,Nhà thuốc,2010.0,Bình Dương,Nam,2022-12-10,Sales rep,A
PH0616,Quầy thuốc,2021.0,Đà Nẵng,Trung,2025-05-15,Web portal,B
PH0617,Nhà thuốc,2021.0,Đồng Nai,Nam,2022-07-02,Hotline,A
PH0618,Phòng khám,2023.0,Hà Nội,Bắc,2025-01-16,Sales rep,B
PH0619,Nhà thuốc,2011.0,Hải Phòng,Bắc,2020-01-07,Referral,A
PH0620,Nhà thuốc,2009.0,Thanh Hóa,Trung,2021-07-17,Hotline,A
PH0621,Nhà thuốc,2016.0,Tiền Giang,Nam,2021-04-26,Referral,B
PH0622,Nhà thuốc,2024.0,Lạng Sơn,Bắc,2025-02-16,Sales rep,B
PH0623,Quầy thuốc,2011.0,,Bắc,2023-09-29,Hotline,A
PH0624,,2002.0,Đắk Lắk,Trung,2021-10-30,Hotline,C
PH0625,Nhà thuốc,2014.0,Bà Rịa - Vũng Tàu,Nam,2024-06-14,Sales rep,B
PH0626,Bệnh viện,1996.0,Khánh Hòa,Trung,2024-02-02,Web portal,B
PH0627,Nhà thuốc,2012.0,Đà Nẵng,Trung,2024-09-19,Sales rep,B
PH0628,,1995.0,TP.HCM,Nam,2022-12-30,Web portal,A
PH0629,???,2008.0,TP.HCM,Nam,2023-11-10,Sales rep,A
PH0630,Phòng khám,2013.0,Lạng Sơn,Bắc,27/11/2020,Sales rep,C
PH0631,Nhà thuốc,1999.0,,Bắc,2024-07-21,Referral,B
PH0632,Nhà thuốc,1996.0,,Trung,2021-08-10,Referral,B
PH0633,Nhà thuốc,2001.0,Bình Định,Trung,2021-01-23,Web portal,
PH0634,Bệnh viện,1999.0,Quảng Ninh,Bắc,2022-02-26,Referral,A
