order_id,pharmacy_id,warehouse_id,order_date,payment_term,payment_method,discount_applied,order_status
O00855,PH0198,W006,2022-12-07,COD,Tiền mặt,0.15,Completed
O00856,PH0198,W005,2022-08-31,COD,Tiền mặt,0.05,Completed
O00857,PH0199,W006,13/04/2024,COD,Tiền mặt,0.0,Pending
O00858,PH0199,W022,06-15-2024,COD,Tiền mặt,0.0,Completed
O00859,PH0200,W004,07/11/2024,COD,Tiền mặt,0.0,Returned
O00860,PH0201,W008,2022-12-02,COD,Tiền mặt,0.0,Completed
O00861,PH0201,W004,2023-02-28,COD,Tiền mặt,0.05,Completed
O00862,PH0201,W023,2022-11-15,Net60,Chuyển khoản,0.0,Completed
O00863,PH0202,W021,2023-10-03,COD,Tiền mặt,0.05,Completed
O00864,PH0202,W002,11-17-2023,COD,Tiền mặt,0.15,Completed
O00865,PH0202,W002,2024-05-11,COD,Tiền mặt,0.05,Completed
O00866,PH0203,W002,10/02/2023,Net30,Chuyển khoản,0.0,Returned
O00867,PH0203,W013,2023-12-31,COD,Tiền mặt,0.0,Completed
O00868,PH0203,W004,2024-03-29,COD,Tiền mặt,0.05,Completed
O00869,PH0203,W007,2025-07-21,COD,Tiền mặt,0.0,Completed
O00870,PH0203,W004,2025-01-28,Net30,Bitcoin,0.0,Cancelled
O00871,PH0204,W009,2021-12-15,,Tiền mặt,0.1,Completed
O00872,PH0204,W016,2021-06-21,COD,Tiền mặt,0.15,Completed
O00873,PH0204,W013,31/03/2024,,Chuyển khoản,0.1,Completed
O00874,PH0204,W009,07-02-2021,Net60,Chuyển khoản,0.1,Completed
O00875,PH0204,W019,14/01/2025,COD,Tiền mặt,0.0,Completed
O00876,PH0204,W006,2021-12-23,Net30,Chuyển khoản,0.05,Completed
O00877,PH0204,W010,2023-06-15,COD,Tiền mặt,0.05,Completed
O00878,PH0204,W002,2022-06-19,Net30,Thẻ,0.0,Completed
O00879,PH0204,W009,2022-02-09,Net30,Chuyển khoản,0.0,Completed
O00880,PH0205,W024,2024-10-25,COD,Tiền mặt,0.15,Completed
O00881,PH0205,W004,2025-05-17,,Chuyển khoản,,Pending
O00882,PH0205,W017,2025-04-19,COD,Tiền mặt,,Completed
O00883,PH0205,W021,2025-11-30,Net30,Chuyển khoản,0.0,Completed
O00884,PH0205,W016,2025-07-29,Net30,Chuyển khoản,0.0,Cancelled
O00885,PH0205,W023,2024-10-21,Net30,Chuyển khoản,0.15,Completed
O00886,PH0206,W019,2025-03-24,Net60,Chuyển khoản,0.2,Completed
O00887,PH0206,W013,2025-12-18,COD,Tiền mặt,0.2,Completed
O00888,PH0208,W008,2024-05-06,COD,Tiền mặt,0.0,Pending
O00889,PH0208,W024,2025-09-27,COD,Tiền mặt,0.15,Completed
O00890,PH0209,W023,12-16-2024,COD,,0.0,Pending
O00891,PH0209,W022,2025-01-26,COD,Tiền mặt,0.0,Completed
O00892,PH0209,W015,2021-12-09,Net30,Chuyển khoản,0.15,Completed
O00893,PH0209,W003,14/04/2024,COD,Tiền mặt,0.05,Completed
O00894,PH0209,W011,2025-09-07,COD,Tiền mặt,0.0,Cancelled
O00895,PH0209,W007,2023-06-15,COD,Tiền mặt,0.05,
O00896,PH0209,W017,2025-10-23,Net60,Chuyển khoản,0.2,Completed
O00897,PH0209,W015,2025-05-04,Net60,Chuyển khoản,0.05,Completed
O00898,PH0209,W008,2023-10-11,COD,Tiền mặt,0.15,Returned
O00899,PH0210,W014,2022-11-05,COD,Tiền mặt,0.1,Completed
O00900,PH0210,W010,03-03-2024,Net60,Chuyển khoản,0.0,Completed
O00901,PH0210,W006,2025-01-02,Net30,Chuyển khoản,0.1,Completed
O00902,PH0210,W018,2022-12-27,Net30,Thẻ,0.1,Completed
O00903,PH0210,W004,2021-10-09,Net30,Chuyển khoản,0.15,Completed
O00904,PH0210,W007,12-07-2023,Net60,Chuyển khoản,0.0,Completed
O00905,PH0210,W018,2025-03-21,Net30,Chuyển khoản,0.0,Completed
O00906,PH0210,W020,2022-08-19,COD,Tiền mặt,0.0,Cancelled
O00907,PH0210,W007,2024-10-04,Net30,Chuyển khoản,0.05,Completed
O00908,PH0211,W014,2024-03-10,Net60,Chuyển khoản,0.15,Completed
O00909,PH0211,W001,2025-10-18,COD,Tiền mặt,0.0,Completed
O00910,PH0212,W022,2025-10-04,Net60,Chuyển khoản,0.0,Completed
O00911,PH0213,W022,2024-11-24,Net60,Thẻ,0.0,Pending
O00912,PH0213,W020,2025-04-07,COD,Tiền mặt,0.1,Completed
O00913,PH0213,W021,2024-11-22,Net60,Thẻ,0.1,Completed
O00914,PH0214,W009,2023-09-26,COD,Tiền mặt,0.1,Completed
O00915,PH0214,W001,2025-02-18,Net30,Chuyển khoản,0.1,Completed
O00916,PH0214,W025,2025-07-21,COD,Tiền mặt,0.0,Completed
O00917,PH0214,W015,09/03/2024,COD,Tiền mặt,0.0,Cancelled
O00918,PH0216,W018,2024-10-19,Net30,Chuyển khoản,0.05,Completed
O00919,PH0216,W005,2024-12-07,COD,Tiền mặt,,Completed
O00920,PH0216,W001,10-02-2024,Net60,Chuyển khoản,0.0,Cancelled
O00921,PH0216,W018,07-24-2025,Net60,Thẻ,0.0,Completed
O00922,PH0216,W011,2025-02-28,COD,Tiền mặt,,Pending
O00923,PH0216,W011,2025-06-04,Net30,Chuyển khoản,0.2,Completed
O00924,PH0217,W014,2025-05-09,Net60,Chuyển khoản,0.0,Completed
O00925,PH0217,W010,2025-01-28,COD,Tiền mặt,0.1,Completed
O00926,PH0217,W021,2025-10-11,Net60,Chuyển khoản,0.05,Completed
O00927,PH0217,W009,29/06/2024,Net30,Chuyển khoản,0.0,Completed
O00928,PH0217,W018,2025-07-02,COD,Tiền mặt,0.0,Completed
O00929,PH0217,W007,09-16-2024,Net30,Thẻ,0.15,Completed
O00930,PH0217,W012,2025-12-15,Net30,Chuyển khoản,0.05,Completed
O00931,PH0218,W008,2024-12-29,Net30,Chuyển khoản,0.05,Completed
O00932,PH0218,W001,2025-05-31,Net30,Chuyển khoản,0.0,Completed
O00933,PH0218,W011,16/10/2024,Net30,Chuyển khoản,0.0,Completed
O00934,PH0218,W016,2025-04-04,COD,Tiền mặt,,Completed
O00935,PH0218,W003,10-10-2024,COD,Tiền mặt,0.15,Completed
O00936,PH0218,W008,2025-06-08,COD,,0.0,Pending
O00937,PH0219,W007,2022-12-29,COD,Tiền mặt,0.05,Returned
O00938,PH0221,W021,02/12/2024,Net30,Chuyển khoản,0.3,Completed
O00939,PH0222,W002,2024-08-06,Net30,Chuyển khoản,0.2,Completed
O00940,PH0222,W002,02-14-2024,Net60,Chuyển khoản,0.0,Completed
O00941,PH0223,W021,04-26-2022,Net60,Chuyển khoản,0.0,Cancelled
O00942,PH0224,W025,28/09/2025,COD,Tiền mặt,0.05,Completed
O00943,PH0224,W016,2025-08-14,COD,Tiền mặt,0.1,Completed
O00944,PH0224,W016,2025-08-28,Net30,Chuyển khoản,0.0,Completed
O00945,PH0224,W025,2025-07-04,COD,Tiền mặt,0.0,Completed
O00946,PH0224,W013,08/07/2025,Net30,Thẻ,0.0,Completed
O00947,PH0224,W005,2025-09-28,Net30,Chuyển khoản,0.0,Completed
O00948,PH0224,W003,2025-10-08,Net30,Chuyển khoản,0.0,Completed
O00949,PH0224,W011,02/07/2025,COD,Tiền mặt,0.0,Completed
O00950,PH0225,W009,02-02-2024,Net30,Chuyển khoản,0.05,Completed
O00951,PH0225,W016,01/12/2024,Net60,Chuyển khoản,0.0,Completed
O00952,PH0225,W015,2024-11-19,Net30,Chuyển khoản,0.0,Completed
O00953,PH0225,W023,2025-03-05,Net30,Thẻ,0.1,Completed
O00954,PH0225,W016,2025-04-23,COD,Tiền mặt,0.1,Completed
O00955,PH0225,W003,17/06/2025,COD,Tiền mặt,0.0,Completed
O00956,PH0225,W007,2025-10-08,Net60,Thẻ,0.05,Completed
O00957,PH0225,W008,2025-01-09,COD,Tiền mặt,0.0,Pending
O00958,PH0229,W022,2025-08-07,COD,Tiền mặt,0.2,Completed
O00959,PH0229,W007,2022-08-11,Net30,Chuyển khoản,0.0,Completed
O00960,PH0230,W006,2025-11-25,,Chuyển khoản,0.05,Returned
O00961,PH0231,W019,2025-02-25,Net30,Chuyển khoản,,Completed
O00962,PH0231,W007,2024-12-10,COD,,0.0,Pending
O00963,PH0231,W025,2024-07-31,Net30,Chuyển khoản,0.05,Completed
O00964,PH0231,W022,2025-02-04,COD,Tiền mặt,0.0,Completed
O00965,PH0231,W020,2024-08-13,Net30,Thẻ,0.2,Completed
O00966,PH0231,W021,2025-09-08,COD,Tiền mặt,0.05,
O00967,PH0231,W017,2025-03-22,Net60,Chuyển khoản,0.15,Completed
O00968,PH0231,W007,2024-07-07,COD,Tiền mặt,0.0,Completed
O00969,PH0231,W007,2024-08-07,COD,Tiền mặt,0.0,Pending
O00970,PH0232,W017,2025-02-22,Net30,Chuyển khoản,0.1,Completed
O00971,PH0232,W022,2023-04-24,Net30,Chuyển khoản,0.0,Completed
O00972,PH0232,W022,15/08/2024,COD,Tiền mặt,0.1,Completed
O00973,PH0232,W016,2025-09-17,Net30,Chuyển khoản,0.05,Returned
O00974,PH0232,W020,2024-07-28,Net30,Chuyển khoản,0.05,Completed
O00975,PH0232,W007,11-03-2023,Net30,Chuyển khoản,0.05,Completed
O00976,PH0232,W022,2023-09-16,COD,Tiền mặt,0.15,Completed
O00977,PH0232,W021,2024-01-05,Net30,Chuyển khoản,0.05,Completed
O00978,PH0232,W013,2025-01-11,Net30,Bitcoin,0.1,Completed
O00979,PH0232,W022,2023-10-03,Net30,Thẻ,0.0,Completed
O00980,PH0232,W024,2024-02-27,Net60,Chuyển khoản,0.2,Completed
O00981,PH0232,W019,2025-04-27,COD,Tiền mặt,0.0,Completed
O00982,PH0232,W005,2025-01-11,,Chuyển khoản,0.3,Completed
O00983,PH0232,W020,01-12-2024,Net60,Chuyển khoản,0.0,Cancelled
O00984,PH0232,W013,2024-06-22,Net60,Chuyển khoản,0.0,Completed
O00985,PH0232,W020,2025-08-26,Net60,Chuyển khoản,0.0,Cancelled
O00986,PH0234,W017,2025-07-12,COD,Tiền mặt,0.0,Completed
O00987,PH0234,W016,2025-08-03,COD,Tiền mặt,,Completed
O00988,PH0234,W025,2025-05-04,Net30,Chuyển khoản,0.1,Completed
O00989,PH0235,W007,14/04/2023,COD,Tiền mặt,0.0,Cancelled
O00990,PH0235,W025,2025-08-06,Net30,Chuyển khoản,0.0,Completed
O00991,PH0236,W005,23/08/2025,Net30,Chuyển khoản,0.1,Completed
O00992,PH0236,W025,2025-10-07,COD,Tiền mặt,0.0,Completed
O00993,PH0236,W008,2025-09-16,Net60,Chuyển khoản,0.2,Completed
O00994,PH0236,W016,2025-03-12,Net60,Chuyển khoản,0.1,Completed
O00995,PH0236,W020,2025-12-30,COD,Tiền mặt,0.0,Completed
O00996,PH0236,W015,2025-02-21,COD,Tiền mặt,0.0,Completed
O00997,PH0236,W004,2024-12-17,COD,Tiền mặt,0.05,Completed
O00998,PH0236,W009,2025-07-20,,Tiền mặt,0.1,Completed
O00999,PH0236,W014,2025-07-11,Net30,Chuyển khoản,0.0,Completed
O01000,PH0236,W006,2025-08-29,Net30,Thẻ,0.0,Pending
O01001,PH0236,W004,2025-06-15,COD,Tiền mặt,0.0,Cancelled
O01002,PH0237,W025,2024-12-07,Net30,Bitcoin,0.05,Completed
O01003,PH0237,W013,2025-03-03,COD,Tiền mặt,0.0,Pending
O01004,PH0238,W005,2025-03-12,Net60,Chuyển khoản,0.1,Returned
O01005,PH0238,W002,2025-10-29,Net30,Thẻ,0.05,Completed
O01006,PH0239,W022,2025-07-08,COD,Tiền mặt,0.0,Pending
O01007,PH0240,W016,09-25-2024,COD,Tiền mặt,0.0,Completed
O01008,PH0240,W002,20/12/2023,Net30,Chuyển khoản,0.0,Pending
O01009,PH0240,W022,2023-04-21,,Chuyển khoản,0.1,Completed
O01010,PH0243,W013,2024-02-21,,Chuyển khoản,0.1,Completed
O01011,PH0244,W020,2023-09-18,COD,Tiền mặt,0.1,Completed
O01012,PH0245,W008,2025-11-14,Net60,Chuyển khoản,0.2,Completed
O01013,PH0245,W010,2025-11-21,Net30,,0.0,Completed
O01014,PH0245,W012,2025-10-12,Net30,Chuyển khoản,0.0,Pending
O01015,PH0245,W013,2025-09-17,Net60,Thẻ,,Completed
O01016,PH0246,W011,2024-07-17,COD,Tiền mặt,,Completed
O01017,PH0246,W001,08-13-2025,COD,Tiền mặt,0.2,Completed
O01018,PH0246,W013,2024-09-21,Net30,Chuyển khoản,0.0,
O01019,PH0246,W006,2025-12-06,Net30,Chuyển khoản,0.1,Completed
O01020,PH0246,W004,2025-08-29,COD,Tiền mặt,0.15,Completed
O01021,PH0246,W013,2023-09-28,Net30,Chuyển khoản,0.1,Completed
O01022,PH0246,W004,2025-02-04,COD,Tiền mặt,0.0,Cancelled
O01023,PH0246,W010,2024-12-09,COD,Tiền mặt,0.05,Completed
O01024,PH0246,W021,2025-04-14,,Chuyển khoản,0.0,Completed
O01025,PH0246,W016,2023-08-27,Net30,Thẻ,0.0,Pending
O01026,PH0246,W006,09/02/2025,Net60,Chuyển khoản,0.1,Completed
O01027,PH0246,W024,2025-10-17,COD,Tiền mặt,,Completed
O01028,PH0246,W011,2025-01-29,COD,Tiền mặt,0.0,
O01029,PH0246,W012,2024-05-29,COD,Tiền mặt,0.0,
O01030,PH0247,W022,29/06/2024,Net30,Chuyển khoản,0.15,Completed
O01031,PH0247,W023,2023-12-10,COD,Tiền mặt,0.0,Completed
O01032,PH0247,W024,27/07/2021,COD,Tiền mặt,0.0,Completed
O01033,PH0247,W009,2021-08-31,Net30,Chuyển khoản,0.05,Completed
O01034,PH0247,W013,2025-12-26,COD,Tiền mặt,0.0,Completed
O01035,PH0248,W015,2022-01-13,Net60,Chuyển khoản,0.0,Pending
O01036,PH0249,W025,06/07/2025,COD,Tiền mặt,0.0,Completed
O01037,PH0249,W023,28/06/2025,Net30,Chuyển khoản,0.1,Completed
O01038,PH0250,W023,2024-05-26,COD,Tiền mặt,0.0,Cancelled
O01039,PH0250,W020,09-05-2024,COD,Tiền mặt,0.05,Completed
O01040,PH0250,W007,06-15-2025,COD,Tiền mặt,0.0,
O01041,PH0250,W013,2024-09-16,COD,Tiền mặt,,Completed
O01042,PH0250,W018,2025-09-01,Net30,Chuyển khoản,,Cancelled
O01043,PH0250,W020,2025-12-07,Net30,Chuyển khoản,0.15,Returned
O01044,PH0250,W022,2024-12-19,,Tiền mặt,0.15,Completed
O01045,PH0250,W019,2025-01-18,Net30,,0.1,Completed
O01046,PH0250,W016,06-18-2024,COD,Tiền mặt,0.15,Completed
O01047,PH0250,W012,2025-07-23,COD,Tiền mặt,0.0,Cancelled
O01048,PH0250,W006,2025-02-10,Net30,Chuyển khoản,0.0,Completed
O01049,PH0250,W005,26/09/2025,Net30,Chuyển khoản,0.0,Pending
O01050,PH0250,W021,2024-07-28,COD,Tiền mặt,0.1,Completed
O01051,PH0250,W020,2024-11-09,COD,Tiền mặt,0.05,
O01052,PH0250,W016,04-29-2025,,Chuyển khoản,0.0,Completed
O01053,PH0250,W015,2025-01-16,Net30,Thẻ,0.0,Completed
O01054,PH0250,W019,2025-08-22,COD,Tiền mặt,0.0,Pending
O01055,PH0251,W020,2023-05-20,COD,Tiền mặt,0.0,
O01056,PH0252,W016,2025-03-27,Net30,Chuyển khoản,0.05,Completed
O01057,PH0252,W008,2023-01-13,Net30,Chuyển khoản,0.0,Completed
O01058,PH0252,W025,2022-02-07,COD,Tiền mặt,0.15,Completed
O01059,PH0252,W021,2024-01-10,COD,Tiền mặt,0.0,Cancelled
O01060,PH0253,W011,2025-07-24,COD,Tiền mặt,0.05,Completed
O01061,PH0253,W018,2025-12-16,COD,Tiền mặt,0.0,Completed
O01062,PH0253,W003,2025-05-30,COD,Tiền mặt,0.0,Completed
O01063,PH0253,W004,2023-09-22,Net30,Chuyển khoản,0.0,Cancelled
O01064,PH0253,W007,2025-03-31,Net60,Chuyển khoản,0.0,Completed
O01065,PH0253,W018,2023-05-14,COD,Tiền mặt,0.0,Pending
O01066,PH0253,W001,2020-11-03,COD,Tiền mặt,0.0,Completed
O01067,PH0253,W012,2021-12-18,Net30,Thẻ,0.05,Completed
O01068,PH0253,W023,2020-06-09,COD,Tiền mặt,0.3,Completed
O01069,PH0253,W023,01-19-2021,Net30,Chuyển khoản,0.05,Completed
O01070,PH0253,W024,2023-10-05,Net30,Chuyển khoản,0.05,Completed
O01071,PH0254,W025,09-05-2025,Net30,Chuyển khoản,0.0,Completed
O01072,PH0254,W014,2025-07-03,Net30,Chuyển khoản,0.0,Completed
O01073,PH0254,W002,2025-07-22,COD,Tiền mặt,0.1,Completed
O01074,PH0254,W025,2025-09-29,Net30,Chuyển khoản,0.1,Completed
O01075,PH0254,W010,2025-07-07,COD,Tiền mặt,,Cancelled
O01076,PH0254,W022,2025-12-20,Net30,Chuyển khoản,0.0,Pending
O01077,PH0255,W004,2025-12-17,COD,Tiền mặt,0.0,Pending
O01078,PH0255,W004,2025-04-05,Net30,Chuyển khoản,0.0,Completed
O01079,PH0255,W014,2025-12-09,Net30,Chuyển khoản,0.0,Cancelled
O01080,PH0255,W003,31/01/2025,COD,Tiền mặt,0.1,Completed
O01081,PH0255,W019,28/12/2024,COD,Bitcoin,0.2,
O01082,PH0255,W006,2025-11-03,Net30,Chuyển khoản,,
O01083,PH0255,W014,2025-11-12,Net30,Thẻ,0.2,Completed
O01084,PH0257,W002,2023-02-02,Net30,Thẻ,0.15,Completed
O01085,PH0257,W001,2022-02-16,Net30,Chuyển khoản,0.0,Completed
O01086,PH0257,W013,2023-07-09,Net30,Chuyển khoản,,Completed
O01087,PH0257,W009,2024-05-30,COD,Tiền mặt,0.0,Completed
O01088,PH0257,W003,2022-11-10,Net30,Chuyển khoản,0.0,Cancelled
O01089,PH0257,W011,2023-07-01,COD,Tiền mặt,0.0,Cancelled
O01090,PH0257,W017,2022-04-19,COD,Tiền mặt,0.2,Completed
O01091,PH0258,W001,2025-09-20,COD,Tiền mặt,0.15,Completed
O01092,PH0258,W015,05-09-2025,COD,Tiền mặt,,Completed
O01093,PH0258,W006,2024-04-01,COD,,0.15,Completed
O01094,PH0258,W022,2025-11-08,COD,Tiền mặt,0.0,
O01095,PH0259,W018,2024-01-12,COD,Tiền mặt,0.2,Completed
O01096,PH0259,W018,2025-03-31,Net30,Thẻ,0.15,Completed
O01097,PH0259,W002,2025-12-01,Net30,Chuyển khoản,0.2,
O01098,PH0259,W012,2023-02-26,Net30,Chuyển khoản,0.2,Completed
O01099,PH0259,W020,2025-03-17,COD,Tiền mặt,0.1,Completed
O01100,PH0259,W025,2023-11-20,Net30,Thẻ,0.05,Completed
O01101,PH0260,W012,2024-07-08,COD,Tiền mặt,0.05,Completed
O01102,PH0261,W023,2025-02-21,Net30,Chuyển khoản,0.05,Completed
O01103,PH0261,W013,16/11/2025,Net30,Chuyển khoản,,Completed
O01104,PH0261,W001,2024-07-19,Net60,Thẻ,0.0,Completed
O01105,PH0261,W018,2023-11-13,COD,Tiền mặt,0.1,Completed
O01106,PH0261,W001,2023-09-28,Net60,Chuyển khoản,0.0,
O01107,PH0261,W014,2025-10-23,COD,Tiền mặt,0.15,Completed
O01108,PH0261,W013,2023-10-01,COD,Tiền mặt,0.0,Completed
O01109,PH0261,W008,2025-05-20,Net30,Chuyển khoản,0.15,Completed
O01110,PH0261,W008,2024-06-14,COD,Tiền mặt,0.1,Completed
O01111,PH0262,W009,09/10/2022,,Tiền mặt,0.0,Completed
O01112,PH0262,W008,2025-04-11,Net60,Thẻ,0.3,Completed
O01113,PH0262,W009,2023-07-22,Net60,Thẻ,0.0,Completed
O01114,PH0263,W018,14/11/2024,COD,Tiền mặt,0.0,Completed
O01115,PH0263,W012,2025-09-21,Net30,Thẻ,0.15,Completed
O01116,PH0263,W022,2025-06-18,COD,Tiền mặt,0.1,Completed
O01117,PH0263,W003,2025-11-03,COD,Tiền mặt,0.3,Completed
O01118,PH0263,W019,2024-08-26,COD,Tiền mặt,0.0,Completed
O01119,PH0264,W015,06/08/2023,COD,Tiền mặt,0.0,Completed
O01120,PH0264,W025,2024-04-06,Net60,Chuyển khoản,0.1,Completed
O01121,PH0264,W021,2024-11-06,COD,Tiền mặt,0.0,Pending
O01122,PH0264,W019,2024-06-20,COD,Tiền mặt,0.15,Completed
O01123,PH0264,W011,10/12/2024,Net30,Chuyển khoản,0.0,Completed
O01124,PH0264,W008,2023-01-26,,Chuyển khoản,0.0,Cancelled
O01125,PH0264,W024,2024-05-02,Net60,Chuyển khoản,0.0,Completed
O01126,PH0264,W006,08/01/2025,Net30,Chuyển khoản,0.0,Completed
O01127,PH0264,W020,2024-06-22,,Tiền mặt,0.15,Completed
O01128,PH0264,W016,2023-11-18,Net60,Bitcoin,0.15,Completed
O01129,PH0264,W015,17/03/2023,COD,Tiền mặt,0.05,Completed
O01130,PH0265,W006,2021-02-23,COD,,0.1,Completed
O01131,PH0265,W022,2022-03-14,Net60,Chuyển khoản,0.3,Completed
O01132,PH0266,W015,26/12/2024,COD,Tiền mặt,0.0,Completed
O01133,PH0266,W012,2023-07-11,Net30,Chuyển khoản,0.1,Completed
O01134,PH0266,W023,2023-12-12,COD,Tiền mặt,0.0,Completed
O01135,PH0266,W022,2024-11-03,COD,Tiền mặt,0.0,Completed
O01136,PH0266,W004,2023-01-16,COD,Tiền mặt,0.0,Cancelled
O01137,PH0266,W023,09-28-2025,COD,Tiền mặt,0.1,Completed
O01138,PH0266,W024,05-13-2025,COD,Tiền mặt,0.1,Returned
O01139,PH0266,W021,03-02-2023,Net30,Thẻ,0.15,Completed
O01140,PH0266,W006,2024-01-05,COD,Tiền mặt,0.0,Pending
O01141,PH0266,W022,2025-11-18,Net30,Chuyển khoản,0.0,Pending
O01142,PH0266,W004,10-27-2024,Net60,Thẻ,0.1,Completed
O01143,PH0266,W010,08-26-2023,COD,Tiền mặt,0.15,Completed
O01144,PH0267,W016,03-06-2025,Net60,Chuyển khoản,0.1,Completed
O01145,PH0267,W012,2025-12-06,Net30,Chuyển khoản,0.0,Completed
O01146,PH0267,W025,2024-12-16,COD,Tiền mặt,0.15,Completed
O01147,PH0267,W008,2025-12-14,Net60,Chuyển khoản,0.05,Completed
O01148,PH0267,W020,2024-12-10,Net30,Thẻ,0.15,Completed
O01149,PH0267,W011,01-05-2025,COD,Tiền mặt,0.15,Completed
O01150,PH0267,W006,2024-12-06,COD,Tiền mặt,0.15,Completed
O01151,PH0267,W006,2025-11-13,Net60,Chuyển khoản,0.0,Completed
O01152,PH0267,W018,19/01/2025,Net30,Chuyển khoản,0.1,Completed
O01153,PH0268,W010,2024-11-24,Net30,Chuyển khoản,0.3,Completed
O01154,PH0268,W005,2025-12-04,COD,Tiền mặt,0.1,Completed
O01155,PH0268,W011,2025-03-25,Net30,Chuyển khoản,0.0,Completed
O01156,PH0269,W016,2025-06-12,Net60,Chuyển khoản,0.0,Completed
O01157,PH0269,W002,2023-10-29,COD,Tiền mặt,,Completed
O01158,PH0269,W022,2023-07-07,COD,Tiền mặt,0.1,Completed
O01159,PH0269,W012,2025-10-16,Net30,Chuyển khoản,0.0,Cancelled
O01160,PH0269,W008,2025-02-01,COD,Tiền mặt,0.2,Completed
O01161,PH0269,W007,2025-01-18,COD,Tiền mặt,,Pending
O01162,PH0269,W017,2025-01-17,COD,Tiền mặt,0.2,Returned
O01163,PH0269,W020,2023-06-19,Net60,Thẻ,0.0,Completed
O01164,PH0270,W012,2020-09-11,COD,Tiền mặt,0.0,Completed
O01165,PH0270,W011,2023-07-01,COD,Tiền mặt,0.1,Completed
O01166,PH0271,W013,2025-03-14,COD,Tiền mặt,0.05,Completed
O01167,PH0271,W020,2025-06-24,Net60,Thẻ,0.1,Completed
O01168,PH0271,W014,2025-08-14,Net30,Thẻ,0.15,Completed
O01169,PH0271,W004,10-12-2025,COD,Tiền mặt,0.0,Completed
O01170,PH0271,W012,2025-11-11,COD,Tiền mặt,0.05,Completed
O01171,PH0271,W020,18/04/2025,Net30,Chuyển khoản,0.15,Completed
O01172,PH0272,W017,03/07/2025,COD,Tiền mặt,0.05,Completed
O01173,PH0274,W025,2024-06-26,Net60,Chuyển khoản,0.0,Completed
O01174,PH0274,W006,2023-05-30,Net30,Thẻ,0.0,Completed
O01175,PH0274,W020,2025-03-28,Net30,Chuyển khoản,0.0,
O01176,PH0274,W020,2025-05-02,Net60,Chuyển khoản,0.0,Completed
O01177,PH0274,W002,2025-11-09,Net30,Chuyển khoản,0.0,Completed
O01178,PH0274,W023,11/01/2024,COD,Tiền mặt,0.05,Returned
O01179,PH0274,W025,2024-03-31,,Tiền mặt,0.1,Returned
O01180,PH0275,W005,17/08/2025,COD,Tiền mặt,0.0,Completed
O01181,PH0275,W005,2025-05-22,Net30,Chuyển khoản,0.0,Pending
O01182,PH0275,W006,2025-11-23,Net30,Chuyển khoản,0.0,Cancelled
O01183,PH0275,W019,2025-09-25,Net30,Chuyển khoản,0.0,Completed
O01184,PH0275,W018,2025-08-30,COD,Tiền mặt,0.1,Completed
O01185,PH0275,W019,07-11-2025,Net60,Chuyển khoản,0.0,Completed
O01186,PH0275,W020,2025-04-29,COD,Tiền mặt,0.15,Completed
O01187,PH0275,W013,05/12/2025,COD,Tiền mặt,0.0,Pending
O01188,PH0275,W010,2025-09-19,COD,Tiền mặt,0.0,Completed
O01189,PH0275,W004,08/04/2025,Net60,Thẻ,0.0,Cancelled
O01190,PH0275,W015,2025-07-01,COD,Tiền mặt,0.1,Completed
O01191,PH0275,W002,2025-03-26,COD,Tiền mặt,0.1,Completed
O01192,PH0275,W017,2025-10-26,Net30,Chuyển khoản,0.0,Returned
O01193,PH0275,W025,2025-08-17,COD,Tiền mặt,0.0,Cancelled
O01194,PH0275,W001,2025-12-27,Net60,Chuyển khoản,0.0,Completed
O01195,PH0276,W019,21/09/2024,Net30,Chuyển khoản,0.2,Completed
O01196,PH0277,W003,2023-02-26,Net30,Chuyển khoản,0.2,Returned
O01197,PH0277,W021,2025-07-10,Net30,Chuyển khoản,0.0,Completed
O01198,PH0277,W008,2023-09-21,COD,Tiền mặt,0.2,Completed
O01199,PH0278,W016,05-09-2025,Net30,Chuyển khoản,0.0,Completed
O01200,PH0278,W004,2024-12-17,Net60,Chuyển khoản,0.1,Completed
O01201,PH0278,W018,2025-01-05,Net30,Chuyển khoản,0.0,Pending
O01202,PH0279,W024,2025-02-06,Net30,Chuyển khoản,0.0,Completed
O01203,PH0279,W004,2025-07-19,Net30,Chuyển khoản,0.2,Completed
O01204,PH0279,W025,2025-02-18,COD,Tiền mặt,0.0,Completed
O01205,PH0279,W003,2024-06-29,Net30,Thẻ,0.05,Completed
O01206,PH0279,W020,2024-10-30,Net30,Thẻ,0.2,Completed
O01207,PH0279,W014,2025-09-22,COD,Tiền mặt,0.0,Completed
O01208,PH0279,W015,2024-12-02,COD,Tiền mặt,0.0,Completed
O01209,PH0279,W016,2025-10-05,,Tiền mặt,0.1,Completed
O01210,PH0279,W019,2025-04-20,COD,Tiền mặt,0.05,Completed
O01211,PH0280,W017,2023-12-25,Net30,,0.05,Completed
O01212,PH0280,W018,02-24-2023,Net60,Chuyển khoản,0.3,
O01213,PH0280,W021,2022-09-20,COD,Tiền mặt,0.15,Completed
O01214,PH0280,W015,2025-03-18,Net30,Chuyển khoản,0.1,Completed
O01215,PH0280,W013,2023-09-15,COD,Tiền mặt,0.0,Completed
O01216,PH0281,W019,04/05/2025,Net60,Thẻ,0.1,Completed
O01217,PH0282,W025,2025-08-23,COD,,0.0,Completed
O01218,PH0282,W001,2024-06-15,Net30,Chuyển khoản,,Cancelled
